"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"청남노인요양공동생활가정","A2538","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","강경희","1159000000","동작구","서울특별시 동작구 강남초등8길 20-04층"
"사랑이있는집노인요양공동생활가정","A2912","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","정문자","1121500000","광진구","서울특별시 광진구 용마산로8마길 7-10(중곡동)"
"구립용산노인전문요양원","A2944","(노인) 노인요양시설","노인의료복지시설","자치구","김신희","1117000000","용산구","서울특별시 용산구 효창원로93길 51 (효창동)"
"구립영등포노인케어센터","A3121","(노인) 노인요양시설","노인의료복지시설","자치구","이지은","1156000000","영등포구","서울특별시 영등포구 도림로 482"
"남부실버요양센터 다솔관","A3370","(노인) 노인요양시설","노인의료복지시설","자치구","이경옥","1154500000","금천구","서울특별시 금천구 범안로12가길 59"
"아름다운실버홈","A3469","(노인) 노인요양시설","노인의료복지시설","자치구","박은영","1111000000","종로구","서울특별시 종로구 평창길 123 (평창동)"
"성암장수마을","A3710","(노인) 노인요양시설","노인의료복지시설","자치구","황용규","1174000000","강동구","서울특별시 강동구 구천면로68길 46 (천호동)"
"북악실버홈 (휴지중)","A3980","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","손양순","1111000000","종로구","서울특별시 종로구 진흥로 493-6 (신영동)"
"e-포근한 요양원","A3996","(노인) 노인요양시설","노인의료복지시설","자치구","황광민","1130500000","강북구","서울특별시 강북구 도봉로 266 (미아동)"
"양천사랑마루","A4519","(노인) 노인요양시설","노인의료복지시설","자치구","이경복","1147000000","양천구","서울특별시 양천구 곰달래로6길 17-1 (신월동)"
"서울성모원 노인요양공동생활가정","A4555","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이희주","1156000000","영등포구","서울특별시 영등포구 대림로12가길 7-1"
"효노인복지센터","A4585","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","곽현숙","1130500000","강북구","서울특별시 강북구 오현로 194덕수빌딩 2층 (번동)"
"봄날실버센터","A4600","(노인) 노인요양시설","노인의료복지시설","자치구","김미숙","1150000000","강서구","서울특별시 강서구 금낭화로 39봄날실버센터"
"시니어스너싱홈","A4602","(노인) 노인요양시설","노인의료복지시설","자치구","김동숙","1150000000","강서구","서울특별시 강서구 화곡로68길 102"
"한마음노인전문요양원","A4615","(노인) 노인요양시설","노인의료복지시설","자치구","이은점","1150000000","강서구","서울특별시 강서구 초록마을로14길 44 (화곡동)"
"붓다마을","A4746","(노인) 노인요양시설","노인의료복지시설","자치구","강차남","1138000000","은평구","서울특별시 은평구 연서로48길 41 (진관동)"
"민영요양센터","A4788","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김표남","1130500000","강북구","서울특별시 강북구 삼양로 184미아동 유유빌딩5층"
"구립 역삼노인요양센터","A4918","(노인) 노인요양시설","노인의료복지시설","자치구","임상백","1168000000","강남구","서울특별시 강남구 도곡로27길 27 (역삼동)"
"신목동노인복지센터","A4937","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","정진화","1147000000","양천구","서울특별시 양천구 중앙로 291대지빌딩 5층"
"로뎀노인요양공동생활가정","A4962","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","정희선","1126000000","중랑구","서울특별시 중랑구 동일로169길 40 "
"진각노인요양센터","A4976","(노인) 노인요양시설","노인의료복지시설","자치구","김상민","1129000000","성북구","서울특별시 성북구 화랑로13길 17진각노인요양센터 (하월곡동)"
"시온노인요양원","A4997","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이수빈","1138000000","은평구","서울특별시 은평구 갈현로 270 인송빌딩  4층인송빌딩 4층"
"구립양천어르신요양센터","A5050","(노인) 노인요양시설","노인의료복지시설","자치구","민경욱","1147000000","양천구","서울특별시 양천구 신월로 26 (신정동)"
"관악실버케어","A5072","(노인) 노인요양시설","노인의료복지시설","자치구","정윤성","1162000000","관악구","서울특별시 관악구 대학18길 34-7 (신림동)"
"미래요양원2","A5092","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김종래","1156000000","영등포구","서울특별시 영등포구 대림로 88재상빌딩 402호"
"해피안","A5098","(노인) 노인요양시설","노인의료복지시설","자치구","김해숙","1138000000","은평구","서울특별시 은평구 연서로15길 27-2(구산동)"
"백마요양원","A5194","(노인) 노인요양시설","노인의료복지시설","자치구","김주희","1129000000","성북구","서울특별시 성북구 종암로18길 14 (종암동)"
"노원사랑요양원1","A5227","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","안경희","1135000000","노원구","서울특별시 노원구 동일로174길 44301호"
"도봉실버센터","A5266","(노인) 노인요양시설","노인의료복지시설","자치구","강병석","1132000000","도봉구","서울특별시 도봉구 시루봉로 133"
"굿모닝케어노인전문요양원","A5477","(노인) 노인요양시설","노인의료복지시설","자치구","신영식","1171000000","송파구","서울특별시 송파구 성내천로16길 17"
"므두셀라실버타운","A5485","(노인) 노인요양시설","노인의료복지시설","자치구","조용옥","1121500000","광진구","서울특별시 광진구 능동로 360 (중곡동)"
"주사랑노인종합복지센터","A5495","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","박신광","1135000000","노원구","서울특별시 노원구 광운로 482층"
"한세노인복지센터","A5579","(노인) 노인요양시설","노인의료복지시설","자치구","황현옥","1126000000","중랑구","서울특별시 중랑구 신내로 50-53층"
"연궁너싱홈","A5673","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","박옥규","1141000000","서대문구","서울특별시 서대문구 증가로 492층"
"예덕너싱홈","A5737","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","전유경","1147000000","양천구","서울특별시 양천구 중앙로 232해성산부인과 4층과 지하1층일부"
"함춘요양원","A5846","(노인) 노인요양시설","노인의료복지시설","자치구","김진규","1165000000","서초구","서울특별시 서초구 논현로1길 13 (양재동 402-3)"
"노원사랑요양원2","A5878","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김미경","1135000000","노원구","서울특별시 노원구 동일로174길 44302호"
"녹번실버","A6014","(노인) 노인요양시설","노인의료복지시설","자치구","김희자","1138000000","은평구","서울특별시 은평구 통일로57길 5-10(녹번동)"
"케어콜","A6139","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이순희","1150000000","강서구","서울특별시 강서구 강서로5나길 743층"
"구립송파노인요양센터","A6153","(노인) 노인요양시설","노인의료복지시설","자치구","권영미","1171000000","송파구","서울특별시 송파구 충민로 184"
"미성요양원","A6233","(노인) 노인요양시설","노인의료복지시설","자치구","권명희","1162000000","관악구","서울특별시 관악구 난곡로63가길 421.3층 (신림동)"
"베스트그린요양원2호점","A6257","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","정상우","1126000000","중랑구","서울특별시 중랑구 동일로 775그린프라자 6층"
"아름다운뜰안에요양원","A6344","(노인) 노인요양시설","노인의료복지시설","자치구","장현숙","1111000000","종로구","서울특별시 종로구 평창21길 70 (평창동)"
"노원사랑요양원3","A6441","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","정혜윤","1135000000","노원구","서울특별시 노원구 동일로174길 44201호"
"구립대치노인요양센터","A6499","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이은경","1168000000","강남구","서울특별시 강남구 역삼로69길 22"
"행복요양원","A6578","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김희라","1153000000","구로구","서울특별시 구로구 경인로23길 87층 (오류동)(오류동)"
"법화노인요양원","A6634","(노인) 노인요양시설","노인의료복지시설","자치구","안영일","1162000000","관악구","서울특별시 관악구 법원단지길 153 (신림동)"
"보라매요양원3호점","A6663","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이병란","1159000000","동작구","서울특별시 동작구 보라매로 88-088 (신대방동)"
"늘편한요양센터2호","A7017","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이동욱","1174000000","강동구","서울특별시 강동구 구천면로318 2층 (천호동)"
"실버캐슬","A7065","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","정은주","1154500000","금천구","서울특별시 금천구 시흥대로 202대의빌딩 6층 (시흥동)"
"거목실버홈","A7091","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이주영","1130500000","강북구","서울특별시 강북구 한천로1160 3층 (수유동)"
"거목요양홈","A7092","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","홍미경","1130500000","강북구","서울특별시 강북구 한천로1160 3층 (수유동)"
"금천구립사랑채요양원","A7132","(노인) 노인요양시설","노인의료복지시설","자치구","이찬우","1154500000","금천구","서울특별시 금천구 금하로 764-0"
"맑은샘요양원","A7167","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이명금","1123000000","동대문구","서울특별시 동대문구 한천로37길19 2층 (답십리동 창승빌딩 A동)"
"노블케어스","A7187","(노인) 노인요양시설","노인의료복지시설","자치구","양태승","1138000000","은평구","서울특별시 은평구 응암로 353 (녹번동)"
"수노인요양공동생활가정2호점","A7188","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이정희","1132000000","도봉구","서울특별시 도봉구 도당로80 5층 (방학동)"
"선화요양원","A7202","(노인) 노인요양시설","노인의료복지시설","자치구","원창근","1150000000","강서구","서울특별시 강서구 등촌로 1833층 (등촌동)"
"두레노인요양원C","A7205","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","오성희","1126000000","중랑구","서울특별시 중랑구 신내로 45-0 해성빌딩 501호"
"효심원 노인요양공동생활가정","A7231","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김응종","1114000000","중구","서울특별시 중구 청구로17길98 (신당동)"
"중앙실버노인요양공동생활가정","A7275","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","박형준","1141000000","서대문구","서울특별시 서대문구 충정로4길5-25 (충정로3가)"
"참빛요양센터","A7284","(노인) 노인요양시설","노인의료복지시설","자치구","정윤석","1132000000","도봉구","서울특별시 도봉구 도봉로141길 11(쌍문동 참빛빌딩)"
"청화요양원","A7319","(노인) 노인요양시설","노인의료복지시설","자치구","박진양","1129000000","성북구","서울특별시 성북구 서경로 67 (정릉동)"
"샬렘요양원","A7352","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","장윤영","1144000000","마포구","서울특별시 마포구 서강로1길12-6 (창전동 6 7층)"
"가원노인요양공동생활가정1호점","A7370","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","장윤영","1132000000","도봉구","서울특별시 도봉구 방학로169 5층 (방학동)"
"보문요양원","A7405","(노인) 노인요양시설","노인의료복지시설","자치구","한경민","1129000000","성북구","서울특별시 성북구 인촌로7길 322~5층 (안암동1가)"
"세검정실버홈","A7412","(노인) 노인요양시설","노인의료복지시설","자치구","이창훈","1111000000","종로구","서울특별시 종로구 평창2길 5 (평창동)"
"가원노인요양공동생활가정2호점","A7461","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김수현","1132000000","도봉구","서울특별시 도봉구 방학로169 4층 (방학동)"
"대림실버1 노인요양공동생활가정","A7466","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김판석","1156000000","영등포구","서울특별시 영등포구 디지털로398 2층 (대림동 대성빌딩)"
"대림실버2노인요양공동생활가정","A7467","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","공복란","1156000000","영등포구","서울특별시 영등포구 디지털로398 5층 (대림동 대성빌딩)"
"케어콜요양원","A7494","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","","1150000000","강서구","서울특별시 강서구 강서로5나길74 4층 (화곡동)"
"늘푸른요양원2호점","A7506","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","박찬옥","1126000000","중랑구","서울특별시 중랑구 용마산로488 3층 (망우동 유진빌딩)"
"은천요양원","A7545","(노인) 노인요양시설","노인의료복지시설","자치구","이병만","1123000000","동대문구","서울특별시 동대문구 장한로27가길53 (장안동)"
"미소들실버케어센터","A7599","(노인) 노인요양시설","노인의료복지시설","자치구","김금자","1153000000","구로구","서울특별시 구로구 고척로21나길 88-41 (개봉동)"
"노블타운요양원","A7600","(노인) 노인요양시설","노인의료복지시설","자치구","조항진","1138000000","은평구","서울특별시 은평구 서오릉로 35 (녹번동)"
"도봉효드림요양원","A7601","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","진명순","1132000000","도봉구","서울특별시 도봉구 마들로13길175 6층 (창동)"
"서울숲 요양원","A7609","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","박윤희","1120000000","성동구","서울특별시 성동구 뚝섬로401-2 4층 (성수동2가)"
"구로푸른요양원","A7619","(노인) 노인요양시설","노인의료복지시설","자치구","김연주","1153000000","구로구","서울특별시 구로구 개봉로3길 9 (개봉동)"
"수요양원","A7625","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","최진","1135000000","노원구","서울특별시 노원구 동일로237다길16 3층 (상계동)"
"보눔케어요양원","A7650","(노인) 노인요양시설","노인의료복지시설","자치구","유진숙","1171000000","송파구","서울특별시 송파구 가락로 27 (석촌동)"
"광진소규모요양시설","A7670","(노인) 노인요양시설","노인의료복지시설","자치구","오병지","1121500000","광진구","서울특별시 광진구 자양로51길 11-25 (구의동)"
"거목노인요양원","A7751","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김서연","1130500000","강북구","서울특별시 강북구 한천로 1160 (수유동)"
"한마음너싱홈","A7758","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김은자","1120000000","성동구","서울특별시 성동구 용답중앙길 91 (용답동)"
"신목행복자리어르신요양센터","A7908","(노인) 노인요양시설","노인의료복지시설","자치구","김광제","1147000000","양천구","서울특별시 양천구 신목로 10현대아파트 단지 내 106동 앞 (신정동 목동현대아파트)"
"남산실버복지센터","A7928","(노인) 노인요양시설","노인의료복지시설","자치구","박창남","1114000000","중구","서울특별시 중구 동호로5길 189 (신당동)"
"(주)도봉늘푸른요양원","A7929","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김다희","1132000000","도봉구","서울특별시 도봉구 방학로 115-03층"
"행복한집","A7965","(노인) 노인요양시설","노인의료복지시설","자치구","문명희","1150000000","강서구","서울특별시 강서구 개화동로11길 3-12"
"그랜드너싱홈","A8007","(노인) 노인요양시설","노인의료복지시설","자치구","조규영","1174000000","강동구","서울특별시 강동구 양재대로 1465마루홈타운 301호 (길동)"
"길음안나의집 노인전문요양원","A8008","(노인) 노인요양시설","노인의료복지시설","자치구","김옥경","1129000000","성북구","서울특별시 성북구 길음로9길 46 (길음동)"
"나이팅게일너싱홈","A8012","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김나경","1147000000","양천구","서울특별시 양천구 오목로 22뉴스타빌딩 202호"
"보람의집","A8046","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","유도원","1147000000","양천구","서울특별시 양천구 목동로23길 34205호"
"광진한울촌노인요양시설","A8052","(노인) 노인요양시설","노인의료복지시설","자치구","이태화","1121500000","광진구","서울특별시 광진구 군자로 79"
"정성노인요양원","A8080","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","배태옥","1159000000","동작구","서울특별시 동작구 보라매로 89거성빌딩 5층"
"시립송파노인전문요양원","A8127","(노인) 노인요양시설","노인의료복지시설","자치구","김나현","1171000000","송파구","서울특별시 송파구 백제고분로32길 37"
"부모섬김노인요양원","A8156","(노인) 노인요양시설","노인의료복지시설","자치구","천정용","1129000000","성북구","서울특별시 성북구 오패산로 98로만프라자 3층 (하월곡동)"
"홍은노인요양시설","A8158","(노인) 노인요양시설","노인의료복지시설","자치구","백영수","1141000000","서대문구","서울특별시 서대문구 홍은중앙로9길 21 (홍은동)"
"한보리노인요양센타","A8188","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","최설희","1162000000","관악구","서울특별시 관악구 난향길 5태성빌딩 3층"
"로뎀복지요양원","A8214","(노인) 노인요양시설","노인의료복지시설","자치구","이제숙","1154500000","금천구","서울특별시 금천구 시흥대로59길 20"
"흰돌장기요양센터1호점","A8240","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","기용우","1174000000","강동구","서울특별시 강동구 구천면로 323개나리프라자 6층"
"실버캐슬요양센터","A8276","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김천미","1154500000","금천구","서울특별시 금천구 시흥대로 202대의빌딩 6층"
"관악노인종합사회복지관 병설 관악치매전문요양센터","A8318","(노인) 노인요양시설","노인의료복지시설","자치구","정정희","1162000000","관악구","서울특별시 관악구 보라매로 35 (봉천동)"
"노원효사랑요양원","A8322","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","조미옥","1135000000","노원구","서울특별시 노원구 동일로173가길 37선석빌딩 4층"
"청담노인복지센터","A8326","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","유지훈","1154500000","금천구","서울특별시 금천구 금하로29길 36금하로 29길 36"
"임원요양원","A8356","(노인) 노인요양시설","노인의료복지시설","자치구","최유리","1154500000","금천구","서울특별시 금천구 독산로 359 (독산동)"
"백산실버홈","A8357","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","전윤서","1141000000","서대문구","서울특별시 서대문구 모래내로 285현대빌딩 4층"
"마포노인복지센터","A8371","(노인) 노인요양시설","노인의료복지시설","자치구","한승훈","1144000000","마포구","서울특별시 마포구 만리재옛12길 6-2 (공덕동)"
"성심복지센터","A8452","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","고창근","1123000000","동대문구","서울특별시 동대문구 망우로 122-14층"
"은파요양원","A8463","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김여영","1123000000","동대문구","서울특별시 동대문구 한천로 77일신빌딩 3층"
"은나무요양원","A8464","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","곽상원","1123000000","동대문구","서울특별시 동대문구 한천로 77일신빌딩 3층"
"로뎀요양원","A8532","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","서일선","1138000000","은평구","서울특별시 은평구 통일로72길 31(불광동)"
"금호노인요양원","A8551","(노인) 노인요양시설","노인의료복지시설","자치구","한향율","1120000000","성동구","서울특별시 성동구 금호로 45정은타워 2층 (금호동4가)"
"한사랑실버센터2호점","A8562","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이춘석","1174000000","강동구","서울특별시 강동구 양재대로 14946층 602호"
"축복재가장기노인요양원","A8586","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김세호","1126000000","중랑구","서울특별시 중랑구 용마산로 389석주빌딩 4층"
"참노인요양원(공동생활가정)","A8623","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","유민혁","1156000000","영등포구","서울특별시 영등포구 가마산로 373주현빌딩 5층 "
"주현노인요양원","A8624","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","유민혁","1156000000","영등포구","서울특별시 영등포구 가마산로 373주현빌딩 5층 (대림동)"
"수실버간호센터","A8637","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이천우","1171000000","송파구","서울특별시 송파구 성내천로 2123층"
"서대문노인복지관요양센터","A8673","(노인) 노인요양시설","노인의료복지시설","자치구","탁우상","1141000000","서대문구","서울특별시 서대문구 독립문로8길 57 (천연동)"
"엘림요양원","A8716","(노인) 노인요양시설","노인의료복지시설","자치구","박길진","1138000000","은평구","서울특별시 은평구 응암로 348(녹번동)"
"양천어르신종합복지관병설 양천어르신요양센터","A8751","(노인) 노인요양시설","노인의료복지시설","자치구","한승호","1147000000","양천구","서울특별시 양천구 목동로3길 106 (신정동)"
"은빛노인요양공동생활가정1","A8773","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","박미선","1171000000","송파구","서울특별시 송파구 거마로 99"
"은빛노인요양공동생활가정4","A8774","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","진난주","1171000000","송파구","서울특별시 송파구 거마로 994층"
"참사랑노인요양센터","A8782","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","고정숙","1130500000","강북구","서울특별시 강북구 오현로 32청우빌딩 6층 (미아동)"
"실버밸리노인요양공동생활가정","A8812","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김승오","1121500000","광진구","서울특별시 광진구 자양로 652층 (자양동)"
"송파치매케어센터","A8835","(노인) 노인요양시설","노인의료복지시설","자치구","이경희","1171000000","송파구","서울특별시 송파구 백제고분로32길 41"
"강남구립 논현요양센터","A8869","(노인) 노인요양시설","노인의료복지시설","자치구","정명희","1168000000","강남구","서울특별시 강남구 강남대로128길 59 (논현동)"
"노원실버센터","A8937","(노인) 노인요양시설","노인의료복지시설","자치구","이수남","1135000000","노원구","서울특별시 노원구 동일로 1097 (공릉동)"
"상봉요양원","A9020","(노인) 노인요양시설","노인의료복지시설","자치구","노태곤","1126000000","중랑구","서울특별시 중랑구 용마산로 494상아빌딩 5층"
"봄날서울요양원","A9082","(노인) 노인요양시설","노인의료복지시설","자치구","정용규","1150000000","강서구","서울특별시 강서구 양천로1길 100"
"효도로노인전문요양원","A9096","(노인) 노인요양시설","노인의료복지시설","자치구","오근영","1153000000","구로구","서울특별시 구로구 경인로 393-7 (고척동)"
"인자인케어센터","A9110","(노인) 노인요양시설","노인의료복지시설","자치구","정선량","1111000000","종로구","서울특별시 종로구 평창17길 26 (평창동)"
"나눔의집","A9119","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","임준희","1147000000","양천구","서울특별시 양천구 목동로23길 34205호"
"케어윌","A9177","(노인) 노인요양시설","노인의료복지시설","자치구","강영희","1129000000","성북구","서울특별시 성북구 보문로 50 (보문동7가)"
"강남실버센터","A9181","(노인) 노인요양시설","노인의료복지시설","자치구","강다혜","1168000000","강남구","서울특별시 강남구 삼성로 628 (삼성동)"
"푸른요양원1호점","A9216","(노인) 노인요양시설","노인의료복지시설","자치구","인순자","1130500000","강북구","서울특별시 강북구 도봉로81길 43 (수유동)"
"벧엘의집요양원","A9238","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","박미혜","1162000000","관악구","서울특별시 관악구 문성로 963층"
"늘사랑실버센터","A9258","(노인) 노인요양시설","노인의료복지시설","자치구","김용길","1135000000","노원구","서울특별시 노원구 한글비석로 444교림노원프라자 5층 (상계동)"
